City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,fish town,5.1964,-7.8756,26.71,88,91,1.74,LR,1717952973
277,port saint john's,-31.6229,29.5448,17.67,70,0,3.56,ZA,1717952973
278,utrik,11.2278,169.8474,28.37,80,78,6.04,MH,1717952843
279,atar,20.5169,-13.0499,42.51,14,8,5.68,MR,1717952973
280,springbok,-29.6643,17.8865,14.32,33,0,4.47,ZA,1717952973
281,stettler,52.3168,-112.7186,8.22,69,97,1.97,CA,1717952974
282,codrington,-38.2667,141.9667,6.14,92,7,2.94,AU,1717952767
283,haiku-pauwela,20.9219,-156.3051,24.47,79,0,7.72,US,1717952868
284,broken hill,-31.95,141.4333,11.24,57,94,3.35,AU,1717952954
285,jordanow,49.6493,19.8298,22.35,90,64,1.46,PL,1717952974
286,sompeta,18.9333,84.6,29.52,73,30,6.05,IN,1717952974
287,la toma,-33.0526,-65.6238,16.96,51,39,6.28,AR,1717952974
288,soure,-0.7167,-48.5233,33.23,69,95,3.74,BR,1717952974
289,uchiza,-8.4592,-76.4633,30.33,50,40,1.24,PE,1717952974
290,kavaratti,10.5669,72.642,28.06,84,100,5.85,IN,1717952941
291,worland,44.0169,-107.9554,22.6,49,0,4.12,US,1717952974
292,novodvinsk,64.4165,40.8122,14.88,47,54,2.7,RU,1717952898
293,mangochi,-14.4782,35.2645,19.74,72,99,4.05,MW,1717952701
294,sao felix do xingu,-6.6447,-51.995,31.93,45,90,2.21,BR,1717952975
295,banjarmasin,-3.3244,114.591,26.08,95,37,0.6,ID,1717952577
296,xichang,27.8964,102.2634,19.14,82,99,0.97,CN,1717952975
297,slanic,45.25,25.9333,22.1,67,85,1.46,RO,1717952975
298,kavieng,-2.5744,150.7967,28.16,80,82,2.5,PG,1717952975
299,puerto armuelles,8.2833,-82.8667,29.99,72,100,1.79,PA,1717952710
300,atafu village,-8.5421,-172.5159,28.3,74,100,3.86,TK,1717952931
301,mariehamn,60.0973,19.9348,11.92,71,0,8.23,AX,1717952976
302,mata-utu,-13.2816,-176.1745,27.52,76,92,7.91,WF,1717952855
303,savanna-la-mar,18.219,-78.1332,30.52,55,100,6.28,JM,1717952976
304,saint-pierre,-21.3393,55.4781,22.82,73,0,5.14,RE,1717952976
305,aykhal,66.0,111.5,15.24,35,61,3.02,RU,1717952976
306,undurkhaan,47.3194,110.6556,17.52,56,92,4.53,MN,1717952976
307,tsiombe,-25.3,45.4833,17.86,62,100,5.06,MG,1717952907
308,jinxiang,27.4327,120.6062,22.86,99,100,0.94,CN,1717952976
309,putina,-15.4667,-69.4333,9.14,41,40,2.81,PE,1717952976
310,puerto francisco de orellana,-0.4667,-76.9667,31.03,66,40,1.54,EC,1717952977
311,labrador city,52.9463,-66.9114,25.66,28,97,0.89,CA,1717952977
312,ailuk,10.2197,169.9797,28.41,79,49,6.09,MH,1717952977
313,choyr,46.3611,108.3611,19.83,27,42,3.79,MN,1717952977
314,flin flon,54.7682,-101.865,12.6,47,68,1.94,CA,1717952977
315,paijan,-7.7333,-79.3022,17.57,62,64,4.86,PE,1717952715
316,shitanjing,39.2342,106.3439,22.73,28,34,2.28,CN,1717952711
317,olyokminsk,60.3736,120.4264,11.22,84,99,0.88,RU,1717952977
318,portland,45.5234,-122.6762,21.27,69,75,1.54,US,1717952849
319,laojunmiao,39.8333,97.7333,20.51,15,87,4.05,CN,1717952842
320,agapovka,53.2973,59.1348,17.56,89,76,4.01,RU,1717952977
321,catemaco,18.4167,-95.1167,35.8,35,84,2.28,MX,1717952978
322,uruzgan,32.8333,66.0,25.59,14,38,1.69,AF,1717952978
323,planaltina,-15.4528,-47.6142,27.6,33,30,3.36,BR,1717952978
324,jackson,42.4165,-122.8345,22.44,48,0,2.06,US,1717952855
325,ayr,55.4627,-4.6339,15.17,58,20,6.69,GB,1717952978
326,abou el hassan,36.4166,1.1962,22.47,40,84,6.3,DZ,1717952978
327,aioun,16.6614,-9.6149,41.92,16,28,2.52,MR,1717952978
328,ra's bayrut,33.9,35.4833,26.17,83,75,4.63,LB,1717952978
329,umm kaddadah,13.6017,26.6876,32.15,34,100,1.63,SD,1717952978
330,cidade velha,14.9167,-23.6167,28.26,54,20,8.23,CV,1717952979
331,rongelap,11.1635,166.8941,28.5,79,44,6.59,MH,1717952969
332,bajil,15.0584,43.2851,36.22,31,58,2.36,YE,1717952979
333,sitka,57.0531,-135.33,9.94,81,75,5.14,US,1717952744
334,kristiansund,63.1115,7.732,14.36,69,75,8.75,NO,1717952979
335,hovd,48.0056,91.6419,18.63,49,39,1.49,MN,1717952979
336,boyolangu,-8.1181,111.8935,24.22,95,89,0.66,ID,1717952979
337,laguna,38.421,-121.4238,24.49,57,0,3.09,US,1717952979
338,kislyakovskaya,46.4417,39.675,21.7,80,89,3.69,RU,1717952979
339,luau,-10.7073,22.2247,20.98,30,25,1.84,AO,1717952980
340,la ronge,55.1001,-105.2842,7.12,93,100,3.09,CA,1717952901
341,antigonish,45.6169,-61.9986,22.3,68,57,2.68,CA,1717952535
342,koratla,18.8167,78.7167,31.32,55,66,4.07,IN,1717952769
343,uturoa,-16.7333,-151.4333,26.96,79,92,4.83,PF,1717952980
344,coquimbo,-29.9533,-71.3436,16.85,75,0,3.09,CL,1717952980
345,kertih,4.5141,103.4483,24.12,93,100,2.28,MY,1717952980
346,sai buri,6.7013,101.6168,25.87,85,100,1.97,TH,1717952980
347,puerto baquerizo moreno,-0.9,-89.6,25.55,73,100,7.2,EC,1717952836
348,hami,42.8,93.45,28.86,18,8,4.27,CN,1717952980
349,greymouth,-42.4667,171.2,13.78,95,100,4.82,NZ,1717952901
350,susuman,62.7833,148.1667,3.88,58,94,0.89,RU,1717952981
351,fallon,39.4735,-118.7774,27.93,32,0,3.6,US,1717952981
352,luganville,-15.5333,167.1667,23.69,78,56,0.34,VU,1717952981
353,east london,-33.0153,27.9116,13.52,88,0,1.54,ZA,1717952706
354,dompu,-8.5356,118.4622,23.05,97,56,1.31,ID,1717952981
355,tukums,56.9669,23.1553,15.64,53,7,4.28,LV,1717952981
356,queenstown,-31.8976,26.8753,10.86,49,0,2.61,ZA,1717952709
357,inarajan village,13.2736,144.7484,28.08,93,56,5.22,GU,1717952981
358,ust'-ilimsk,58.0006,102.6619,13.02,93,100,1.34,RU,1717952982
359,new baltimore,42.6811,-82.7369,24.08,51,40,5.66,US,1717952692
360,aldama,22.9167,-98.0667,36.32,36,14,4.31,MX,1717952982
361,fortuna,40.5982,-124.1573,15.55,88,75,3.09,US,1717952861
362,saudarkrokur,65.7461,-19.6394,6.44,85,87,2.66,IS,1717952982
363,carupano,10.6678,-63.2585,30.64,67,41,5.2,VE,1717952982
